Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1/3/2020,VN,Viet Nam,WPRO,0,0,0,0
1/4/2020,VN,Viet Nam,WPRO,0,0,0,0
1/5/2020,VN,Viet Nam,WPRO,0,0,0,0
1/6/2020,VN,Viet Nam,WPRO,0,0,0,0
1/7/2020,VN,Viet Nam,WPRO,0,0,0,0
1/8/2020,VN,Viet Nam,WPRO,0,0,0,0
1/9/2020,VN,Viet Nam,WPRO,0,0,0,0
1/10/2020,VN,Viet Nam,WPRO,0,0,0,0
1/11/2020,VN,Viet Nam,WPRO,0,0,0,0
1/12/2020,VN,Viet Nam,WPRO,0,0,0,0
1/13/2020,VN,Viet Nam,WPRO,0,0,0,0
1/14/2020,VN,Viet Nam,WPRO,0,0,0,0
1/15/2020,VN,Viet Nam,WPRO,0,0,0,0
1/16/2020,VN,Viet Nam,WPRO,0,0,0,0
1/17/2020,VN,Viet Nam,WPRO,0,0,0,0
1/18/2020,VN,Viet Nam,WPRO,0,0,0,0
1/19/2020,VN,Viet Nam,WPRO,0,0,0,0
1/20/2020,VN,Viet Nam,WPRO,0,0,0,0
1/21/2020,VN,Viet Nam,WPRO,0,0,0,0
1/22/2020,VN,Viet Nam,WPRO,0,0,0,0
1/23/2020,VN,Viet Nam,WPRO,0,0,0,0
1/24/2020,VN,Viet Nam,WPRO,0,0,0,0
1/25/2020,VN,Viet Nam,WPRO,2,2,0,0
1/26/2020,VN,Viet Nam,WPRO,0,2,0,0
1/27/2020,VN,Viet Nam,WPRO,0,2,0,0
1/28/2020,VN,Viet Nam,WPRO,0,2,0,0
1/29/2020,VN,Viet Nam,WPRO,0,2,0,0
1/30/2020,VN,Viet Nam,WPRO,0,2,0,0
1/31/2020,VN,Viet Nam,WPRO,0,2,0,0
2/1/2020,VN,Viet Nam,WPRO,3,5,0,0
2/2/2020,VN,Viet Nam,WPRO,1,6,0,0
2/3/2020,VN,Viet Nam,WPRO,1,7,0,0
2/4/2020,VN,Viet Nam,WPRO,0,7,0,0
2/5/2020,VN,Viet Nam,WPRO,3,10,0,0
2/6/2020,VN,Viet Nam,WPRO,0,10,0,0
2/7/2020,VN,Viet Nam,WPRO,2,12,0,0
2/8/2020,VN,Viet Nam,WPRO,1,13,0,0
2/9/2020,VN,Viet Nam,WPRO,0,13,0,0
2/10/2020,VN,Viet Nam,WPRO,1,14,0,0
2/11/2020,VN,Viet Nam,WPRO,0,14,0,0
2/12/2020,VN,Viet Nam,WPRO,1,15,0,0
2/13/2020,VN,Viet Nam,WPRO,0,15,0,0
2/14/2020,VN,Viet Nam,WPRO,1,16,0,0
2/15/2020,VN,Viet Nam,WPRO,0,16,0,0
2/16/2020,VN,Viet Nam,WPRO,0,16,0,0
2/17/2020,VN,Viet Nam,WPRO,0,16,0,0
2/18/2020,VN,Viet Nam,WPRO,0,16,0,0
2/19/2020,VN,Viet Nam,WPRO,0,16,0,0
2/20/2020,VN,Viet Nam,WPRO,0,16,0,0
2/21/2020,VN,Viet Nam,WPRO,0,16,0,0
2/22/2020,VN,Viet Nam,WPRO,0,16,0,0
2/23/2020,VN,Viet Nam,WPRO,0,16,0,0
2/24/2020,VN,Viet Nam,WPRO,0,16,0,0
2/25/2020,VN,Viet Nam,WPRO,0,16,0,0
2/26/2020,VN,Viet Nam,WPRO,0,16,0,0
2/27/2020,VN,Viet Nam,WPRO,0,16,0,0
2/28/2020,VN,Viet Nam,WPRO,0,16,0,0
2/29/2020,VN,Viet Nam,WPRO,0,16,0,0
3/1/2020,VN,Viet Nam,WPRO,0,16,0,0
3/2/2020,VN,Viet Nam,WPRO,0,16,0,0
3/3/2020,VN,Viet Nam,WPRO,0,16,0,0
3/4/2020,VN,Viet Nam,WPRO,0,16,0,0
3/5/2020,VN,Viet Nam,WPRO,0,16,0,0
3/6/2020,VN,Viet Nam,WPRO,0,16,0,0
3/7/2020,VN,Viet Nam,WPRO,2,18,0,0
3/8/2020,VN,Viet Nam,WPRO,2,20,0,0
3/9/2020,VN,Viet Nam,WPRO,10,30,0,0
3/10/2020,VN,Viet Nam,WPRO,1,31,0,0
3/11/2020,VN,Viet Nam,WPRO,3,34,0,0
3/12/2020,VN,Viet Nam,WPRO,4,38,0,0
3/13/2020,VN,Viet Nam,WPRO,6,44,0,0
3/14/2020,VN,Viet Nam,WPRO,3,47,0,0
3/15/2020,VN,Viet Nam,WPRO,6,53,0,0
3/16/2020,VN,Viet Nam,WPRO,4,57,0,0
3/17/2020,VN,Viet Nam,WPRO,4,61,0,0
3/18/2020,VN,Viet Nam,WPRO,5,66,0,0
3/19/2020,VN,Viet Nam,WPRO,10,76,0,0
3/20/2020,VN,Viet Nam,WPRO,9,85,0,0
3/21/2020,VN,Viet Nam,WPRO,6,91,0,0
3/22/2020,VN,Viet Nam,WPRO,3,94,0,0
3/23/2020,VN,Viet Nam,WPRO,19,113,0,0
